attestationdedeplacement,apps/kakoune
bitwarden,apps/bitwarden
bluetooth,apps/bluetooth
bluetooth,devices/bluetooth
calculator,apps/org.gnome.Calculator
camera,devices/camera-photo
discord,apps/com.discordapp.Discord
discord,apps/discord
downwell,apps/Downwell.desktop
downwell,apps/steam_icon_360740
dsphoto,places/folder-pictures
element,apps/element
file,places/folder-documents
firefox,apps/firefox
folder_download,places/folder-download
folder_home,places/user-home
folder_music,places/folder-music
folder_search,places/folder-saved-search
folder,apps/nemo
folder,apps/system-file-manager
folder,places/folder
folder,system/index
folder,system/org.kde.dolphin
galaxystore,apps/org.kde.discover
google_chrome,apps/chromium
keepassdroid,apps/keepass
microsoftteams,apps/teams
print,devices/printer
radiodroid,status/audio-volume-high
schildichat,apps/schildichat-desktop
settings,apps/org.gnome.Settings
settings,apps/systemsettings
signal,apps/signal-desktop
slack,apps/slack
spotify,apps/spotify-client
steam,apps/steam
steam_deck,actions/steamdeck-gaming-return
telegram,apps/telegram
terminal,apps/org.gnome.Terminal
terminal,system/konsole
thunderbird,apps/thunderbird
vivaldi,apps/vivaldi
vlc,apps/vlc
vlc,apps/vlc-kb
vlc,apps/vlc-xmas
wifi,devices/network-wireless
musescore,apps/mscore
element,apps/io.element.Element
nextcloud,apps/nextcloud
qbittorrent_remote,apps/qbittorrent
kodi,apps/kodi
krita,apps/krita
yubico_authenticator,apps/yubikey-personalization-gui
skyrim,apps/steam_icon_489830
skyrim,apps/steam_icon_72850
skyrim,apps/steam_icon_365720
falloutshelter,apps/steam_icon_22380
no_mans_sky,apps/steam_icon_275850
cult_of_the_lamb,apps/steam_icon_1313140
starfield,apps/steam_icon_1716740
minimetro,apps/steam_icon_287980
mini_motorways,apps/steam_icon_1127500
enter_the_gungeon,apps/steam_icon_311690
papers_please,apps/steam_icon_239030
monument_valley,apps/steam_icon_1927720
hollow_knight,apps/steam_icon_367520
cube_escape,apps/steam_icon_909080
cube_escape,apps/steam_icon_1292940
doom,apps/steam_icon_2280
doom,apps/steam_icon_379720
doom,apps/steam_icon_782330
doom_2,apps/steam_icon_2300
doom_3,apps/steam_icon_208200
letter_lowercase_square_g,apps/steam_icon_4000
settings,apps/steam_icon_427520
limbo,apps/steam_icon_48000
nuclear,apps/steam_icon_38420
nuclear,apps/steam_icon_38410
destiny_2,apps/steam_icon_1085660
terraria,apps/steam_icon_105600
amongus,apps/steam_icon_945360
amongus,apps/steam_icon_1849900
sonic_the_hedgehog,apps/steam_icon_2324650
sonic_the_hedgehog,apps/steam_icon_2055290
sonic_the_hedgehog,apps/steam_icon_1237320
sonic_the_hedgehog,apps/steam_icon_1794960
sonic_the_hedgehog,apps/steam_icon_785260
sonic_the_hedgehog,apps/steam_icon_637100
sonic_the_hedgehog,apps/steam_icon_584400
sonic_the_hedgehog,apps/steam_icon_329440
sonic_the_hedgehog,apps/steam_icon_212480
sonic_the_hedgehog,apps/steam_icon_213610
sonic_the_hedgehog,apps/steam_icon_203650
sonic_the_hedgehog,apps/steam_icon_202530
sonic_the_hedgehog,apps/steam_icon_71340
sonic_the_hedgehog,apps/steam_icon_71250
sonic_the_hedgehog,apps/steam_icon_34313
sonic_the_hedgehog,apps/steam_icon_34278
sonic_the_hedgehog,apps/steam_icon_34190
geometry_dash,apps/steam_icon_322170
inbento,apps/steam_icon_1567440
superautopets,apps/steam_icon_1714040
worldexplorers,apps/steam_icon_544730
worldexplorers,apps/steam_icon_857680
cookie_clicker,apps/steam_icon_1454400
crashontherun,apps/steam_icon_1378990
crashontherun,apps/steam_icon_731490
dont_starve,apps/steam_icon_322330
dont_starve,apps/steam_icon_219740
falloutshelter,apps/steam_icon_22370
falloutshelter,apps/steam_icon_377160
falloutshelter,apps/steam_icon_1151340
godot,apps/steam_icon_404790
jellydrift,apps/steam_icon_1740930
minecraft,apps/steam_icon_1672970
minecraft,apps/steam_icon_1928870
monopoly,apps/steam_icon_562810
monopoly,apps/steam_icon_1474700
monopoly,apps/steam_icon_2383760
openttd,apps/steam_icon_1536610
organtrail,apps/steam_icon_233740
plagueinc,apps/steam_icon_246620
plants_vs_zombies,apps/steam_icon_3590
plants_vs_zombies,apps/steam_icon_1922560
plants_vs_zombies,apps/steam_icon_1262240
quakedroid,apps/steam_icon_2310
quakedroid,apps/steam_icon_2320
quakedroid,apps/steam_icon_2210
quakedroid,apps/steam_icon_282440
rocket_league_sideswipe,apps/steam_icon_252950
slay_the_spire,apps/steam_icon_646570
snakebird,apps/steam_icon_1014140
snakebird,apps/steam_icon_357300
stumble_guys,apps/steam_icon_1677740
vector,apps/steam_icon_248970
